Crop,Model,R²,MSE,RMSE,MAE
Small millets,Random Forest,0.7326095401048804,0.0247779952946342,0.1574102769663855,0.106623092135017
Small millets,Gradient Boosting,0.6803479311371912,0.0296208677800599,0.172107140409862,0.111021738311651
Small millets,XGBoost,0.718081359236624,0.0261242632106041,0.1616300195217589,0.1076357463708958
Small millets,CatBoost,0.738105208760699,0.0242687338492253,0.1557842541761692,0.106476463449507
Small millets,SVM,0.7777086927788365,0.020598838741384,0.1435229554509801,0.1001119050911669
Small millets,MLP,0.7954910743040965,0.0189510171776187,0.1376626934852677,0.0905370039738401
Sweet potato,Random Forest,0.6651030689543422,8.440419057642089,2.9052399311661143,2.0636372341686022
Sweet potato,Gradient Boosting,0.6689864561928194,8.342545913348099,2.888346570851237,2.059147121626801
Sweet potato,XGBoost,0.659999795763095,8.569037030238217,2.92729175693818,1.932525640407988
Sweet potato,CatBoost,0.7168639135008734,7.13588868351743,2.671308421638623,1.812841789826764
Sweet potato,SVM,0.695530715861594,7.673550009205933,2.770117327696777,1.82720080115948
Sweet potato,MLP,0.5495730004975625,11.352127410682671,3.3692918262867457,2.328271636268872
Tapioca,Random Forest,0.946881444123221,6.8499750908488135,2.617245707007428,1.890288561405132
Tapioca,Gradient Boosting,0.9247853989017316,9.699400435253477,3.114386044672927,2.2926255983611767
Tapioca,XGBoost,0.935500242117831,8.317653361728166,2.8840342164627946,2.0509179932517547
Tapioca,CatBoost,0.9239411878114652,9.808266816206274,3.13181525895227,2.3046315002592754
Tapioca,SVM,0.9069410455035938,12.000543120176948,3.4641800068958526,2.4180910498453527
Tapioca,MLP,0.9303665714874674,8.979672789067035,2.996610216405703,2.163580326368034
Tobacco,Random Forest,0.6419867270592581,1.048366521253726,1.0238977103469495,0.5859794882387309
Tobacco,Gradient Boosting,0.6291383829063716,1.0859901930041915,1.042108532257649,0.6261100165990808
Tobacco,XGBoost,0.6277073479359396,1.0901806777351657,1.0441171762475538,0.5859393519444943
Tobacco,CatBoost,0.694196073984405,0.8954824369200574,0.9462993379053256,0.592679399337427
Tobacco,SVM,0.8212666224498903,0.5233830793897744,0.7234521956492871,0.4290548960502316
Tobacco,MLP,0.8546640034832885,0.4255858779470107,0.6523694336394147,0.4151369952776008
Turmeric,Random Forest,0.5094855817067457,5.665789936168349,2.380291985485888,1.055294361504269
Turmeric,Gradient Boosting,0.3772027873242665,7.193750169729511,2.682116733054233,1.1241442910145918
Turmeric,XGBoost,0.5227768399800268,5.512266462534698,2.3478216419768128,0.9076238102303396
Turmeric,CatBoost,0.545275766825704,5.252387876823859,2.291808865683144,1.1552076279214545
Turmeric,SVM,0.4963259093447583,5.817793499063102,2.412010260977988,0.9495825389180677
Turmeric,MLP,0.6346180053764578,4.220421563138489,2.0543664627175184,0.9945525639519937
Wheat,Random Forest,0.8368989335185583,0.194177590825376,0.4406558643946271,0.2569612604099687
Wheat,Gradient Boosting,0.871743676502724,0.1526936913539731,0.3907604014661326,0.2434957929970234
Wheat,XGBoost,0.7910412987291471,0.2487727276718356,0.4987712177660571,0.2723311968839833
Wheat,CatBoost,0.8518719754988113,0.1763516545407497,0.41994244193788,0.2678788164260181
Wheat,SVM,0.9188411277848004,0.0966225091032446,0.3108416141755228,0.2163716134144616
Wheat,MLP,0.9473453397917816,0.0626872361139589,0.2503741921883302,0.182323378655931
Bajra,Random Forest,0.8867269061979186,4.252578168971346,2.0621780158297067,0.49308721886849
Bajra,Gradient Boosting,0.9601848222424024,1.494769411185292,1.2226076276489084,0.3719004898763628
Bajra,XGBoost,0.9617077595023624,1.437594229268427,1.1989971765056109,0.3530951982100873
Bajra,CatBoost,0.9540825006107536,1.723867062531636,1.3129611808928838,0.4317206814176963
Bajra,SVM,0.944729950623818,2.074987073150826,1.4404815421069532,0.5224978354060694
Bajra,MLP,0.9441141966248214,2.0981041429305645,1.4484833940817423,0.5872912396341365
Other_Crops,Random Forest,0.2536673311479234,0.5556380876408081,0.7454113546497719,0.2625993268261265
Other_Crops,Gradient Boosting,0.0781946271201784,0.6862759677286515,0.8284177495253536,0.2980513399615434
Other_Crops,XGBoost,0.1614200186459561,0.6243153979713788,0.7901363160691823,0.335127160789191
Other_Crops,CatBoost,0.4378653680559439,0.4185042742005059,0.6469190630987047,0.227996253188205
Other_Crops,SVM,0.6593009221870689,0.253647457705599,0.5036342499330233,0.1804797414181048
Other_Crops,MLP,0.7958583498936074,0.1519816575193181,0.3898482493475097,0.1877034736466136
Coriander,Random Forest,0.6746322193617647,0.1590959119389286,0.398868288961317,0.200623149546653
Coriander,Gradient Boosting,0.7005071712507543,0.1464437708477619,0.3826797235911016,0.2058714294892374
Coriander,XGBoost,0.4635942756289236,0.262287672493806,0.5121402859508379,0.2464976800415695
Coriander,CatBoost,0.7249815869274714,0.1344764535134465,0.3667103127994173,0.1856559265044198
Coriander,SVM,0.8157560503415988,0.0900902330668224,0.3001503507691145,0.1670937336885679
Coriander,MLP,0.8008268698695433,0.0973901924452324,0.3120740175747292,0.1817329643172807
Garlic,Random Forest,0.7930802194716962,2.9103401321295856,1.705971902502965,0.9796132916441256
Garlic,Gradient Boosting,0.7534968601885422,3.467082647476056,1.8620103779184627,1.029182073832761
Garlic,XGBoost,0.7278316008664042,3.8280661842651535,1.956544449856725,1.0335522777265085
Garlic,CatBoost,0.7872808738140199,2.9919083048994097,1.7297133591723832,1.0374392058381792
Garlic,SVM,0.8440134023598023,2.193961611729625,1.4812027584802918,0.8447174052588483
Garlic,MLP,0.8013665991907726,2.7937916639989915,1.6714639284169406,1.0271208502815112
Ginger,Random Forest,0.7000379122763538,13.452822221582062,3.667808912904551,2.0382407244798797
Ginger,Gradient Boosting,0.6828792980219287,14.22235876163358,3.771254269024243,2.0715749578399465
Ginger,XGBoost,0.6610755192284268,15.200223538124666,3.898746405977781,1.995660232267499
Ginger,CatBoost,0.6885913307740255,13.966183183843205,3.737135692457956,1.9760059044130829
Ginger,SVM,0.6426931887083447,16.02464180505198,4.003079040570143,1.9795505041395167
Ginger,MLP,0.6022042527862794,17.84050613988883,4.223802332009493,2.533510991681586
Groundnut,Random Forest,0.7977653129304929,0.0821881908171409,0.2866848283693104,0.2005097425690457
Groundnut,Gradient Boosting,0.8003742524652406,0.0811279176097137,0.2848296290938036,0.2012991270728471
